Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 2,650,000",3,2,155 SQM,"Kafr Abdo, Alexandria•",2024-03-27,500638426
"EGP 11,830,000",3,4,200 SQM,"Palm Hills Alexandria, Amreya•",2024-03-27,500641523
"EGP 11,785,000",3,3,199 SQM,"Moharam Bik, Alexandria•",2024-03-27,200781517
"EGP 3,350,000",3,2,158 SQM,"Kafr Abdo, Alexandria•",2024-03-27,200862603
"EGP 3,700,000",2,1,100 SQM,"Miami, Alexandria•",2024-03-27,200719073
"EGP 4,200,000",3,2,180 SQM,"Al Ibrahimiyyah, Alexandria•",2024-03-27,200812152
"EGP 4,800,000",3,3,225 SQM,"Kafr Abdo, Alexandria•",2024-03-27,500594425
"EGP 3,300,000",3,2,158 SQM,"Kafr Abdo, Alexandria•",2024-03-27,500604207
"EGP 9,200,000",4,3,263 SQM,"Smoha, Alexandria•",2024-03-27,200872295
"EGP 4,700,000",3,2,146 SQM,"Smoha, Alexandria•",2024-03-27,200536053
"EGP 6,850,000",3,3,230 SQM,"Saba Pasha, Alexandria•",2024-03-27,500616120
"EGP 365,000",6,6,235 SQM,"Palm Hills Alexandria, Amreya•",2024-03-27,200678113
"EGP 5,400,000",3,2,194 SQM,"Smoha, Alexandria•",2024-03-27,200861390
"EGP 1,400,000",3,2,130 SQM,"Smoha, Alexandria•",2024-03-27,200823669
"EGP 1,900,000",3,1,140 SQM,"Bolkly, Alexandria•",2024-03-27,200679482
"EGP 3,700,000",3,2,300 SQM,"Fleming, Alexandria•",2024-03-27,200812115
"EGP 2,600,000",3,2,150 SQM,"Smoha, Alexandria•",2024-03-27,500632736
"EGP 11,507,920",3,3,286 SQM,"Alex West, Agami•",2024-03-27,500644376
"EGP 6,570,000",3,2,146 SQM,"Murooj, Smoha•",2024-03-27,500644246
"EGP 3,500,000",3,2,140 SQM,"Laurent, Alexandria•",2024-03-27,200822496
"EGP 1,275,000",2,2,85 SQM,"Smoha, Alexandria•",2024-03-27,200804024
"EGP 4,500,000",3,2,158 SQM,"Smoha, Alexandria•",2024-03-27,500461241
"EGP 5,600,000",3,2,161 SQM,"Smoha, Alexandria•",2024-03-27,200545603
"EGP 4,292,000",3,2,148 SQM,"Sawari, Moharam Bik•",2024-03-27,500630670
"EGP 2,600,000",3,2,145 SQM,"Glim, Alexandria•",2024-03-27,200863084
"EGP 4,000,000",3,2,178 SQM,"Smoha, Alexandria•",2024-03-27,500460790
"EGP 3,500,000",3,2,150 SQM,"Zezenia, Alexandria•",2024-03-27,200861724
"EGP 2,200,000",3,2,155 SQM,"Seyouf, Alexandria•",2024-03-27,500633884
"EGP 3,950,000",3,2,225 SQM,"Moharam Bik, Alexandria•",2024-03-27,500604861
"EGP 3,650,000",3,2,155 SQM,"Smoha, Alexandria•",2024-03-27,200824479
"EGP 5,600,000",3,3,165 SQM,"Smoha, Alexandria•",2024-03-27,500642520
"EGP 4,264,524",3,2,198 SQM,"Mandara, Alexandria•",2024-03-27,500643988
"EGP 6,411,000",3,3,177 SQM,"Sawari, Moharam Bik•",2024-03-27,500635974
"EGP 7,500,000",3,3,204 SQM,"Azarita, Alexandria•",2024-03-27,500619527
"EGP 4,650,000",3,2,238 SQM,"Smoha, Alexandria•",2024-03-27,500612467
"EGP 5,200,000",3,3,260 SQM,"Laurent, Alexandria•",2024-03-27,500573444
"EGP 1,650,000",2,1,100 SQM,"Asafra, Alexandria•",2024-03-27,500614461
"EGP 3,898,378",3,2,181 SQM,"Mandara, Alexandria•",2024-03-27,500644008
"EGP 2,000,000",3,2,150 SQM,"Palm Hills Alexandria, Amreya•",2024-03-27,500637679
"EGP 5,000,000",2,2,135 SQM,"Saba Pasha, Alexandria•",2024-03-27,200862338
"EGP 2,300,000",2,2,120 SQM,"Sidi Beshr, Alexandria•",2024-03-27,500634825
"EGP 1,800,000",3,1,120 SQM,"Sidi Gaber, Alexandria•",2024-03-27,500614443
"EGP 2,400,000",3,2,175 SQM,"Seyouf, Alexandria•",2024-03-27,500632710
"EGP 5,900,000",3,2,177 SQM,"Smoha, Alexandria•",2024-03-27,200802540
"EGP 2,100,000",2,1,70 SQM,"Laurent, Alexandria•",2024-03-27,200289199
"EGP 1,650,000",2,1,115 SQM,"Asafra, Alexandria•",2024-03-27,200729591
"EGP 3,700,000",3,1,165 SQM,"Glim, Alexandria•",2024-03-27,500639943
"EGP 640,000",2,1,100 SQM,"Nakheel, Alexandria•",2024-03-27,200795015
"EGP 3,600,000",4,3,200 SQM,"Sporting, Alexandria•",2024-03-27,200863134
"EGP 3,945,000",3,2,170 SQM,"Smoha, Alexandria•",2024-03-27,200822695
"EGP 750,000",2,1,90 SQM,"Abu Qir, Alexandria•",2024-04-01,200851881
"EGP 4,600,000",3,2,150 SQM,"Stanley, Alexandria•",2024-04-01,200831263
"EGP 1,600,000",3,1,140 SQM,"Miami, Alexandria•",2024-04-01,200301787
"EGP 1,300,000",2,1,90 SQM,"Moharam Bik, Alexandria•",2024-04-01,200763442
"EGP 1,700,000",2,1,105 SQM,"Seyouf, Alexandria•",2024-04-01,200873131
"EGP 900,000",3,3,161 SQM,"Kafr Abdo, Alexandria•",2024-04-01,500644607
"EGP 850,000",3,1,100 SQM,"Sidi Beshr, Alexandria•",2024-04-01,200873107
"EGP 3,500,000",2,1,110 SQM,"Sidi Beshr, Alexandria•",2024-04-01,200873089
"EGP 3,900,000",3,2,150 SQM,"Roushdy, Alexandria•",2024-04-01,200873046
"EGP 5,500,000",3,2,185 SQM,"Sidi Beshr, Alexandria•",2024-04-01,200873032
"EGP 6,043,000",3,2,140 SQM,"Smoha, Alexandria•",2024-04-01,500644582
"EGP 7,300,000",3,3,204 SQM,"Azarita, Alexandria•",2024-04-01,200862863
"EGP 3,250,000",2,2,120 SQM,"Laurent, Alexandria•",2024-04-01,200719482
"EGP 4,633,000",2,2,137 SQM,"Moharam Bik, Alexandria•",2024-04-01,200709593
"EGP 2,200,000",3,2,160 SQM,"Sidi Beshr, Alexandria•",2024-04-01,200662825
"EGP 1,682,000",2,1,116 SQM,"Seyouf, Alexandria•",2024-04-01,200654071
"EGP 1,350,000",2,1,125 SQM,"Mandara, Alexandria•",2024-04-01,200512064
"EGP 1,750,000",2,1,120 SQM,"Borg al-Arab, Alexandria•",2024-04-01,200220151
"EGP 33,600,000",5,3,560 SQM,"Roushdy, Alexandria•",2024-04-01,200872970
"EGP 1,500,000",2,1,110 SQM,"Miami, Alexandria•",2024-04-01,200872935
"EGP 880,000",3,3,230 SQM,"Kafr Abdo, Alexandria•",2024-04-01,500644547
"EGP 6,500,000",3,3,181 SQM,"Smoha, Alexandria•",2024-04-01,200872844
"EGP 2,500,000",3,1,135 SQM,"Miami, Alexandria•",2024-04-01,200872702
"EGP 2,400,000",2,1,135 SQM,"Glim, Alexandria•",2024-04-01,200872692
"EGP 3,500,000",3,2,160 SQM,"Al Ibrahimiyyah, Alexandria•",2024-04-01,200872658
"EGP 6,250,000",4,2,200 SQM,"Miami, Alexandria•",2024-04-01,200872652
"EGP 5,300,000",3,2,230 SQM,"Miami, Alexandria•",2024-04-01,200872619
"EGP 10,000,000",3,3,175 SQM,"Smoha, Alexandria•",2024-04-01,500644451
