Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 3,800,000",3,1,125 SQM,"Al Ibrahimiyyah, Alexandria•",2025-01-10,501443819
"EGP 3,500,000",3,2,159 SQM,"Bolkly, Alexandria•",2025-01-26,501499829
"EGP 3,000,000",3,1,165 SQM,"Miami, Alexandria•",2025-01-10,500982976
"EGP 6,000,000",3,2,208 SQM,"Roushdy, Alexandria•",2025-01-10,501406876
"EGP 6,000,000",3,3,214 SQM,"Saba Pasha, Alexandria•",2025-02-02,501606048
"EGP 10,000,000",5,4,400 SQM,"Laurent, Alexandria•",2025-01-26,501489276
"EGP 13,233,400",4,3,226 SQM,"Sawari, Moharam Bik•",2025-02-04,203869117
"EGP 8,400,000",4,4,270 SQM,"Laurent, Alexandria•",2025-02-04,501678885
"EGP 3,500,000",2,1,120 SQM,"Smoha, Alexandria•",2025-02-02,501609457
"EGP 2,000,000",2,1,100 SQM,"Miami, Alexandria•",2025-02-06,203592857
"EGP 9,000,000Negotiable",4,3,350 SQM,"Glim, Alexandria•",2025-02-05,203864191
"EGP 2,700,000",3,2,160 SQM,"Miami, Alexandria•",2025-02-05,501680166
"EGP 3,500,000",3,1,145 SQM,"Miami, Alexandria•",2025-02-03,203862949
"EGP 5,000,000",3,3,172 SQM,"Valore Antoniades, Smoha•",2025-02-09,501688786
"EGP 1,700,000Negotiable",3,1,105 SQM,"Miami, Alexandria•",2025-02-04,201805168
"EGP 2,150,000",2,1,95 SQM,"Smoha, Alexandria•",2025-01-26,501497273
"EGP 3,250,000",4,2,218 SQM,"Smoha, Alexandria•",2025-01-26,501526406
"EGP 800,000Negotiable",3,1,105 SQM,"Al Bitash, Agami•",2025-02-07,203901034
"EGP 2,950,000",2,1,100 SQM,"Sporting, Alexandria•",2025-01-26,501513194
"EGP 3,500,000",2,1,135 SQM,"Laurent, Alexandria•",2025-01-12,501196710
"EGP 8,400,000Negotiable",4,3,330 SQM,"Camp Caesar, Alexandria•",2025-02-03,203863881
"EGP 5,200,000",2,2,177 SQM,"Smoha, Alexandria•",2025-02-04,501678917
"EGP 12,920,000",3,3,216 SQM,"Smoha, Alexandria•",2025-02-09,501232637
"EGP 2,650,000",3,2,135 SQM,"Moharam Bik, Alexandria•",2025-01-26,501489816
"EGP 4,100,000",4,1,200 SQM,"Miami, Alexandria•",2025-01-19,501480260
"EGP 4,350,000",3,1,180 SQM,"Glim, Alexandria•",2025-02-06,501685262
"EGP 3,150,000",2,1,100 SQM,"Smoha, Alexandria•",2025-01-26,501513374
"EGP 5,200,000",4,3,200 SQM,"Smoha, Alexandria•",2025-02-02,501608966
"EGP 2,900,000",3,2,150 SQM,"Gianaclis, Alexandria•",2025-02-05,501681093
"EGP 5,587,329",2,2,133 SQM,"Sawari, Moharam Bik•",2025-02-04,501678771
"EGP 3,200,000",3,1,145 SQM,"Sporting, Alexandria•",2025-01-10,501445010
"EGP 2,500,000",2,1,127 SQM,"Miami, Alexandria•",2025-02-07,198777977
"EGP 710,000Negotiable",3,1,135 SQM,"Kilo 21, Agami•",2025-02-02,203629943
"EGP 3,200,000",3,1,100 SQM,"Cleopatra, Alexandria•",2025-01-26,501471286
"EGP 5,900,000",3,2,151 SQM,"Valore Antoniades, Smoha•",2025-02-04,203132871
"EGP 5,000,000",3,2,175 SQM,"Roushdy, Alexandria•",2025-02-02,501609373
"EGP 4,500,000",3,2,190 SQM,"Laurent, Alexandria•",2025-02-09,500864483
"EGP 3,800,000",3,2,145 SQM,"Mandara, Alexandria•",2025-01-26,501346604
