Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 3,500,000",3,2,170 SQM,"Moharam Bik, Alexandria•",2024-01-11,500401013
"EGP 9,750,000",5,3,310 SQM,"Raml Station, Alexandria•",2024-01-11,200011382
"EGP 4,000,000",3,2,144 SQM,"Smoha, Alexandria•",2024-01-11,199499208
"EGP 1,638,000",3,1,117 SQM,"Miami, Alexandria•",2024-01-11,500398370
"EGP 2,900,000",3,2,200 SQM,"Sporting, Alexandria•",2024-01-11,199338802
"EGP 3,100,000",3,2,240 SQM,"Miami, Alexandria•",2024-01-11,199382868
"EGP 1,900,000",2,1,100 SQM,"Miami, Alexandria•",2024-01-11,199062178
"EGP 4,500,000",4,2,280 SQM,"Smoha, Alexandria•",2024-01-11,199506724
"EGP 8,000,000",3,3,236 SQM,"Smoha, Alexandria•",2024-01-11,200064549
"EGP 1,950,000",2,1,130 SQM,"Asafra, Alexandria•",2024-01-11,500413501
"EGP 7,200,000",3,3,220 SQM,"Smoha, Alexandria•",2024-01-11,198876537
"EGP 1,900,000",2,1,100 SQM,"Miami, Alexandria•",2024-01-11,500397818
"EGP 2,500,000",3,2,150 SQM,"Miami, Alexandria•",2024-01-11,200003041
"EGP 3,750,000",3,2,175 SQM,"Sporting, Alexandria•",2024-01-11,200053574
"EGP 6,832,560",4,3,217 SQM,"Borg al-Arab, Alexandria•",2024-01-11,500413420
"EGP 3,200,000",3,2,175 SQM,"Kafr Abdo, Alexandria•",2024-01-11,200033207
"EGP 1,700,000",3,2,130 SQM,"Sidi Beshr, Alexandria•",2024-01-11,200020255
"EGP 7,100,000",3,3,230 SQM,"Smoha, Alexandria•",2024-01-11,200022557
"EGP 4,000,000",3,2,190 SQM,"Smoha, Alexandria•",2024-01-11,500399831
"EGP 4,000,000",3,2,160 SQM,"Sporting, Alexandria•",2024-01-11,500399943
"EGP 5,880,000",3,2,147 SQM,"Smoha, Alexandria•",2024-01-11,199121564
"EGP 680,000",2,1,100 SQM,"Nakheel, Alexandria•",2024-01-11,200050308
"EGP 3,800,000",3,2,160 SQM,"Gianaclis, Alexandria•",2024-01-11,199785708
"EGP 15,300,000",3,3,341 SQM,"Azarita, Alexandria•",2024-01-11,199961025
"EGP 2,500,000",4,2,155 SQM,"Sidi Beshr, Alexandria•",2024-01-11,199161039
"EGP 3,650,000",3,2,245 SQM,"Moharam Bik, Alexandria•",2024-01-11,500400134
"EGP 7,300,000",3,3,230 SQM,"Glim, Alexandria•",2024-01-11,200001135
"EGP 6,000,000",3,2,210 SQM,"Raml Station, Alexandria•",2024-01-11,500397466
"EGP 950,000",2,1,90 SQM,"Mandara, Alexandria•",2024-01-11,500397517
"EGP 630,000",2,1,90 SQM,"Nakheel, Alexandria•",2024-01-11,200002927
"EGP 4,500,000",3,2,190 SQM,"Laurent, Alexandria•",2024-01-11,199746171
"EGP 2,500,000",2,1,125 SQM,"Miami, Alexandria•",2024-01-11,199062422
"EGP 2,450,000",3,2,265 SQM,"Asafra, Alexandria•",2024-01-11,500398903
"EGP 3,400,000",3,2,155 SQM,"Sidi Gaber, Alexandria•",2024-01-11,200034076
"EGP 6,500,000",3,3,240 SQM,"Zezenia, Alexandria•",2024-01-11,500381971
"EGP 11,000,000",4,3,300 SQM,"Kafr Abdo, Alexandria•",2024-01-11,200033027
"EGP 2,100,000",3,2,170 SQM,"Borg al-Arab, Alexandria•",2024-01-11,200009600
"EGP 490,000",2,1,85 SQM,"Nakheel, Alexandria•",2024-01-11,199937305
"EGP 2,080,000",3,1,130 SQM,"Victoria, Alexandria•",2024-01-11,200010641
"EGP 3,300,000",2,2,175 SQM,"Smoha, Alexandria•",2024-01-11,200071476
"EGP 2,268,000",2,1,108 SQM,"Miami, Alexandria•",2024-01-11,199061777
"EGP 3,700,000",3,2,175 SQM,"Sporting, Alexandria•",2024-01-11,200052770
"EGP 7,250,000",3,2,220 SQM,"Saba Pasha, Alexandria•",2024-01-11,200050341
"EGP 10,000,000",4,3,460 SQM,"Sidi Beshr, Alexandria•",2024-01-11,200052364
"EGP 5,880,000",3,2,147 SQM,"Murooj, Smoha•",2024-01-11,200051271
"EGP 8,112,000",3,2,208 SQM,"Sawari, Moharam Bik•",2024-01-11,500399702
"EGP 5,500,000",3,2,156 SQM,"Smoha, Alexandria•",2024-01-11,500379310
"EGP 3,400,000",3,2,220 SQM,"Laurent, Alexandria•",2024-01-11,198817926
"EGP 6,700,000",4,3,300 SQM,"Roushdy, Alexandria•",2024-01-11,199312127
"EGP 1,750,000",3,2,160 SQM,"Seyouf, Alexandria•",2024-01-11,199517710
"EGP 9,122,500",3,4,213 SQM,"Moharam Bik, Alexandria•",2024-01-15,500414522
"EGP 4,400,000",3,2,153 SQM,"Alex West, Agami•",2024-01-15,500414520
"EGP 1,600,000",3,1,100 SQM,"Moharam Bik, Alexandria•",2024-01-15,200035926
"EGP 4,500,000",4,2,280 SQM,"Smoha, Alexandria•",2024-01-15,199506724
"EGP 1,000,000",4,3,197 SQM,"Sidi Beshr, Alexandria•",2024-01-15,199070338
"EGP 2,900,000",3,2,200 SQM,"Sporting, Alexandria•",2024-01-15,199338802
"EGP 6,700,000",4,3,300 SQM,"Roushdy, Alexandria•",2024-01-15,199312127
"EGP 4,800,000",3,1,153 SQM,"Alex West, Agami•",2024-01-15,500414437
"EGP 8,320,000",3,3,208 SQM,"Moharam Bik, Alexandria•",2024-01-15,200012088
"EGP 2,900,000",3,2,150 SQM,"Smoha, Alexandria•",2024-01-15,199944424
"EGP 950,000",2,1,110 SQM,"Al Hadrah, Alexandria•",2024-01-15,197108295
"EGP 2,600,000",4,1,170 SQM,"Mandara, Alexandria•",2024-01-15,200073501
"EGP 1,700,000",3,2,125 SQM,"Victoria, Alexandria•",2024-01-15,200073420
"EGP 4,000,000",3,2,175 SQM,"Smoha, Alexandria•",2024-01-15,200071899
"EGP 3,000,000",3,2,180 SQM,"Al Ibrahimiyyah, Alexandria•",2024-01-15,199670240
"EGP 1,600,000",3,1,100 SQM,"Sidi Beshr, Alexandria•",2024-01-15,200073124
"EGP 4,500,000",2,2,175 SQM,"Kafr Abdo, Alexandria•",2024-01-15,200022147
"EGP 8,736,000",4,3,208 SQM,"Murooj, Smoha•",2024-01-15,199932923
"EGP 17,000,000",6,7,500 SQM,"Zezenia, Alexandria•",2024-01-15,199804865
"EGP 12,000,000",4,5,300 SQM,"Raml Station, Alexandria•",2024-01-15,199236325
