Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 9,000,000",4,3,420 SQM,"Mandara, Alexandria•",2023-08-29,198202631
"EGP 4,700,000",3,2,300 SQM,"Glim, Alexandria•",2023-08-29,197821853
"EGP 450,000",3,1,140 SQM,"Agami, Alexandria•",2023-08-29,198449763
"EGP 2,500,000",4,3,220 SQM,"Bolkly, Alexandria•",2023-08-29,197566840
"EGP 470,000",2,1,90 SQM,"Nakheel, Alexandria•",2023-08-29,198590906
"EGP 1,750,000",2,1,140 SQM,"Asafra, Alexandria•",2023-08-29,198260920
"EGP 11,000,000",4,4,400 SQM,"Sidi Gaber, Alexandria•",2023-08-29,198049174
"EGP 750,000",3,1,115 SQM,"Sidi Beshr, Alexandria•",2023-08-29,198561008
"EGP 2,750,000",3,3,175 SQM,"Glim, Alexandria•",2023-08-29,198287361
"EGP 2,200,000",3,2,165 SQM,"Sidi Beshr, Alexandria•",2023-08-29,198553203
"EGP 4,750,000",3,2,190 SQM,"Kafr Abdo, Alexandria•",2023-08-29,198241754
"EGP 3,565,000",2,2,155 SQM,"Amreya, Alexandria•",2023-08-29,198518130
"EGP 5,100,000",4,4,370 SQM,"Smoha, Alexandria•",2023-08-29,196342106
"EGP 1,290,000",3,2,160 SQM,"Glim, Alexandria•",2023-08-29,198285865
"EGP 3,100,000",3,2,200 SQM,"Laurent, Alexandria•",2023-08-29,198348440
"EGP 1,200,000",3,1,125 SQM,"Sidi Beshr, Alexandria•",2023-08-29,198411818
"EGP 5,350,000",4,4,385 SQM,"Smoha, Alexandria•",2023-08-29,197590890
"EGP 8,500,000",4,5,500 SQM,"Smoha, Alexandria•",2023-08-29,197602565
"EGP 800,000",3,1,140 SQM,"Agami, Alexandria•",2023-08-29,198530983
"EGP 3,400,000",3,2,200 SQM,"Roushdy, Alexandria•",2023-08-29,198494344
"EGP 2,500,000",3,1,110 SQM,"Smoha, Alexandria•",2023-08-29,198493363
"EGP 1,200,000",2,1,95 SQM,"Victoria, Alexandria•",2023-08-29,198301032
"EGP 4,788,000",3,3,171 SQM,"Murooj, Smoha•",2023-08-29,198487271
"EGP 4,200,000",4,3,330 SQM,"Shatby, Alexandria•",2023-08-29,197811021
"EGP 2,350,000",3,2,175 SQM,"Sidi Beshr, Alexandria•",2023-08-29,198250536
"EGP 4,084,000",3,2,184 SQM,"Smoha, Alexandria•",2023-08-29,198539686
"EGP 3,400,000",5,4,360 SQM,"Roushdy, Alexandria•",2023-08-29,197099007
"EGP 7,384,000",3,3,208 SQM,"Murooj, Smoha•",2023-08-29,198471278
"EGP 2,300,000",3,1,139 SQM,"Smoha, Alexandria•",2023-08-29,197737106
"EGP 4,700,000",3,3,242 SQM,"Laurent, Alexandria•",2023-08-29,197822899
"EGP 5,100,000",4,3,263 SQM,"Smoha, Alexandria•",2023-08-29,197289186
"EGP 1,750,000",3,1,110 SQM,"Al Ibrahimiyyah, Alexandria•",2023-08-29,198339503
"EGP 320,000",2,1,100 SQM,"Agami, Alexandria•",2023-08-29,198216731
"EGP 2,450,000",3,1,160 SQM,"Smoha, Alexandria•",2023-08-29,198338183
"EGP 2,650,000",2,1,130 SQM,"Sidi Beshr, Alexandria•",2023-08-29,198550795
"EGP 420,000",3,1,100 SQM,"Agami, Alexandria•",2023-08-29,198591654
"EGP 4,500,000",3,3,300 SQM,"Zezenia, Alexandria•",2023-08-29,197750306
"EGP 5,365,000",3,2,185 SQM,"Smoha, Alexandria•",2023-08-29,198518887
"EGP 2,600,000",3,2,160 SQM,"Al Ibrahimiyyah, Alexandria•",2023-08-29,197911438
"EGP 7,692,000",2,2,180 SQM,"Amreya, Alexandria•",2023-08-29,198579519
"EGP 3,900,000",5,2,270 SQM,"Moharam Bik, Alexandria•",2023-08-29,198563969
"EGP 3,300,000",3,2,180 SQM,"Glim, Alexandria•",2023-08-29,198411437
"EGP 4,750,000",3,3,230 SQM,"Camp Caesar, Alexandria•",2023-08-29,198422952
"EGP 1,180,000",2,2,115 SQM,"Fleming, Alexandria•",2023-08-29,198600978
"EGP 4,950,000",4,3,248 SQM,"Kafr Abdo, Alexandria•",2023-08-29,197906763
"EGP 959,500",2,1,101 SQM,"Seyouf, Alexandria•",2023-09-01,198053956
"EGP 1,722,500",3,1,130 SQM,"Victoria, Alexandria•",2023-09-01,198050248
"EGP 3,094,000",3,2,140 SQM,"Smoha, Alexandria•",2023-09-01,197552963
"EGP 9,600,000",4,4,320 SQM,"Glim, Alexandria•",2023-09-01,192600199
"EGP 5,800,000",3,3,235 SQM,"Smoha, Alexandria•",2023-09-01,198610074
"EGP 1,200,000",3,1,110 SQM,"Seyouf, Alexandria•",2023-09-01,198587800
"EGP 1,450,000",3,2,175 SQM,"Seyouf, Alexandria•",2023-09-01,198587557
"EGP 1,750,000",3,1,140 SQM,"Azarita, Alexandria•",2023-09-01,198381904
"EGP 1,600,000",2,1,120 SQM,"Smoha, Alexandria•",2023-09-01,197994799
"EGP 4,950,000",4,3,248 SQM,"Kafr Abdo, Alexandria•",2023-09-01,197906763
"EGP 350,000",2,1,65 SQM,"Abu Talat, Alexandria•",2023-09-01,198577223
"EGP 2,700,000",3,1,250 SQM,"Mandara, Alexandria•",2023-09-01,198562833
"EGP 2,500,000",3,2,150 SQM,"Sporting, Alexandria•",2023-09-01,198539244
"EGP 4,000,000",3,2,185 SQM,"Kafr Abdo, Alexandria•",2023-09-01,198522124
"EGP 2,500,000",3,1,125 SQM,"Al Ibrahimiyyah, Alexandria•",2023-09-01,198203807
"EGP 4,000,000",3,2,170 SQM,"Maamoura, Alexandria•",2023-09-01,198608670
"EGP 620,000",2,1,160 SQM,"Nakheel, Alexandria•",2023-09-01,198471763
"EGP 8,005,620",3,2,210 SQM,"Azarita, Alexandria•",2023-09-01,198370537
"EGP 2,850,000",3,2,160 SQM,"Miami, Alexandria•",2023-09-01,198607907
"EGP 3,300,000",3,2,185 SQM,"Smoha, Alexandria•",2023-09-01,198607884
"EGP 800,000",2,1,115 SQM,"Agami, Alexandria•",2023-09-01,192593211
"EGP 4,700,000",4,5,300 SQM,"Asafra, Alexandria•",2023-09-01,198607664
"EGP 5,500,000",3,3,358 SQM,"Asafra, Alexandria•",2023-09-01,192632615
"EGP 400,000",2,1,220 SQM,"Nakheel, Alexandria•",2023-09-01,198536210
"EGP 1,950,000",3,2,160 SQM,"Gianaclis, Alexandria•",2023-09-01,197897872
"EGP 380,000",2,1,90 SQM,"Agami, Alexandria•",2023-09-01,198607346
"EGP 840,000",2,1,90 SQM,"Agami, Alexandria•",2023-09-01,196584136
"EGP 1,300,000",3,1,150 SQM,"Miami, Alexandria•",2023-09-01,198603718
"EGP 270,000",2,1,80 SQM,"Nakheel, Alexandria•",2023-09-01,198606758
"EGP 560,000",2,2,200 SQM,"Nakheel, Alexandria•",2023-09-01,198606725
"EGP 250,000",2,1,80 SQM,"Agami, Alexandria•",2023-09-01,198606312
"EGP 370,000",2,1,85 SQM,"Nakheel, Alexandria•",2023-09-01,198606162
"EGP 470,000",2,1,105 SQM,"Nakheel, Alexandria•",2023-09-01,198606112
