Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 7,600,000",3,3,304 SQM,"Smoha, Alexandria•",2023-09-26,198914877
"EGP 2,000,000",3,3,210 SQM,"Smoha, Alexandria•",2023-09-26,198524895
"EGP 6,350,000",3,2,190 SQM,"Maamoura, Alexandria•",2023-09-26,198372350
"EGP 2,800,000",2,2,140 SQM,"Montazah, Alexandria•",2023-09-26,198923115
"EGP 3,500,000",3,2,175 SQM,"Smoha, Alexandria•",2023-09-26,198843048
"EGP 265,000",2,1,100 SQM,"Agami, Alexandria•",2023-09-26,198905064
"EGP 3,800,000",3,2,170 SQM,"Laurent, Alexandria•",2023-09-26,198924921
"EGP 7,575,000",3,3,202 SQM,"Moharam Bik, Alexandria•",2023-09-26,198945522
"EGP 5,950,000",3,3,329 SQM,"Glim, Alexandria•",2023-09-26,198751088
"EGP 470,000",2,1,160 SQM,"Nakheel, Alexandria•",2023-09-26,198858848
"EGP 5,350,000",3,2,209 SQM,"Smoha, Alexandria•",2023-09-26,198968952
"EGP 5,040,000",2,2,140 SQM,"Moharam Bik, Alexandria•",2023-09-26,198938645
"EGP 11,500,000",3,3,235 SQM,"Roushdy, Alexandria•",2023-09-26,198838610
"EGP 15,000,000",4,4,270 SQM,"San Stefano, Alexandria•",2023-09-26,198887501
"EGP 2,300,000",4,2,160 SQM,"Miami, Alexandria•",2023-09-26,198964418
"EGP 1,450,000",3,1,125 SQM,"Seyouf, Alexandria•",2023-09-26,198928557
"EGP 6,200,000",3,3,204 SQM,"Azarita, Alexandria•",2023-09-26,198337506
"EGP 4,750,000",3,2,190 SQM,"Kafr Abdo, Alexandria•",2023-09-26,198970961
"EGP 6,600,000",3,4,319 SQM,"Laurent, Alexandria•",2023-09-26,198856626
"EGP 9,000,000",3,4,315 SQM,"Kafr Abdo, Alexandria•",2023-09-26,198802996
"EGP 7,000,000",3,2,238 SQM,"Smoha, Alexandria•",2023-09-26,197829303
"EGP 3,450,000",3,2,220 SQM,"San Stefano, Alexandria•",2023-09-26,198495200
"EGP 3,100,000",3,2,180 SQM,"Sidi Gaber, Alexandria•",2023-09-26,198877166
"EGP 6,300,000",5,3,300 SQM,"Zezenia, Alexandria•",2023-09-26,198530102
"EGP 8,280,000",4,3,230 SQM,"Murooj, Smoha•",2023-09-26,198902124
"EGP 2,250,000",3,2,145 SQM,"Zezenia, Alexandria•",2023-09-26,198919764
"EGP 1,600,000",2,2,125 SQM,"Camp Caesar, Alexandria•",2023-09-26,198766180
"EGP 7,488,000",3,3,208 SQM,"Murooj, Smoha•",2023-09-26,198471278
"EGP 1,500,000",2,1,130 SQM,"Miami, Alexandria•",2023-09-26,198924130
"EGP 260,000",2,1,100 SQM,"Agami, Alexandria•",2023-09-26,198944318
"EGP 6,142,500",3,3,195 SQM,"Murooj, Smoha•",2023-09-26,198964190
"EGP 3,500,000",5,3,325 SQM,"Miami, Alexandria•",2023-09-26,198380962
"EGP 1,300,000",2,1,130 SQM,"Zezenia, Alexandria•",2023-09-26,198968617
"EGP 6,000,000",3,3,275 SQM,"Raml Station, Alexandria•",2023-09-26,198966179
"EGP 675,000",2,1,76 SQM,"Montazah, Alexandria•",2023-09-26,198757041
"EGP 5,750,000",4,2,195 SQM,"Smoha, Alexandria•",2023-09-26,198951920
"EGP 1,700,000",3,2,125 SQM,"Miami, Alexandria•",2023-09-26,197587986
"EGP 750,000",3,1,130 SQM,"Agami, Alexandria•",2023-09-26,198942896
"EGP 3,250,000",3,2,220 SQM,"San Stefano, Alexandria•",2023-09-26,198966403
"EGP 4,000,000",3,2,185 SQM,"Laurent, Alexandria•",2023-09-26,198936801
"EGP 3,700,000",3,2,220 SQM,"Laurent, Alexandria•",2023-09-26,198915903
"EGP 2,150,000",3,2,145 SQM,"Glim, Alexandria•",2023-09-26,198905430
"EGP 6,732,000",3,2,204 SQM,"Azarita, Alexandria•",2023-09-26,198901562
"EGP 4,600,000",3,3,192 SQM,"Al Ibrahimiyyah, Alexandria•",2023-09-26,197507828
"EGP 750,000",3,1,115 SQM,"Sidi Beshr, Alexandria•",2023-09-26,198925389
"EGP 1,500,000",2,1,138 SQM,"Attarin, Alexandria•",2023-10-01,198970370
"EGP 800,000",2,3,240 SQM,"Abu Talat, Alexandria•",2023-10-01,198971011
"EGP 4,750,000",3,2,190 SQM,"Kafr Abdo, Alexandria•",2023-10-01,198970961
"EGP 1,100,000",2,1,120 SQM,"Abu Qir, Alexandria•",2023-10-01,198959601
"EGP 3,500,000",4,2,300 SQM,"Glim, Alexandria•",2023-10-01,198937866
"EGP 3,850,000",3,2,190 SQM,"Miami, Alexandria•",2023-10-01,198843322
"EGP 2,200,000",3,1,115 SQM,"Sporting, Alexandria•",2023-10-01,198642568
"EGP 5,632,000",3,3,176 SQM,"Murooj, Smoha•",2023-10-01,198553023
"EGP 3,900,000",2,1,76 SQM,"Cleopatra, Alexandria•",2023-10-01,191416662
"EGP 10,000,000",4,3,260 SQM,"Glim, Alexandria•",2023-10-01,196318053
"EGP 400,000",1,1,80 SQM,"Murooj, Smoha•",2023-10-01,198511522
"EGP 5,650,000",3,3,280 SQM,"Smoha, Alexandria•",2023-10-01,198970527
"EGP 1,650,000",3,1,130 SQM,"Miami, Alexandria•",2023-10-01,198970492
"EGP 2,800,000",3,2,265 SQM,"Bolkly, Alexandria•",2023-10-01,198959024
"EGP 850,000",3,1,120 SQM,"Seyouf, Alexandria•",2023-10-01,198947590
"EGP 2,100,000",2,1,127 SQM,"Smoha, Alexandria•",2023-10-01,198923161
"EGP 4,700,000",3,3,196 SQM,"Camp Caesar, Alexandria•",2023-10-01,198768404
"EGP 8,700,000",5,3,300 SQM,"Raml Station, Alexandria•",2023-10-01,197954392
"EGP 3,000,000",2,2,122 SQM,"Al Ibrahimiyyah, Alexandria•",2023-10-01,197507226
"EGP 950,000",3,1,120 SQM,"Mandara, Alexandria•",2023-10-01,198970031
"EGP 1,550,000",3,2,150 SQM,"Smoha, Alexandria•",2023-10-01,198969741
"EGP 5,700,000",3,2,160 SQM,"Glim, Alexandria•",2023-10-01,198969508
"EGP 5,632,000",3,3,176 SQM,"Murooj, Smoha•",2023-10-01,198902288
"EGP 1,750,000",3,2,180 SQM,"Mandara, Alexandria•",2023-10-01,198528729
"EGP 5,841,000",3,3,198 SQM,"Murooj, Smoha•",2023-10-01,198326459
"EGP 110,000",2,1,37 SQM,"Manshiyya, Alexandria•",2023-10-01,198953694
"EGP 1,350,000",3,2,159 SQM,"Mandara, Alexandria•",2023-10-01,198969188
"EGP 4,460,000",3,3,184 SQM,"Borg al-Arab, Alexandria•",2023-10-01,198969133
"EGP 5,350,000",3,2,209 SQM,"Smoha, Alexandria•",2023-10-01,198968952
"EGP 2,512,000",2,2,101 SQM,"Moharam Bik, Alexandria•",2023-10-01,198968889
"EGP 1,300,000",2,1,130 SQM,"Zezenia, Alexandria•",2023-10-01,198968617
"EGP 2,100,000",3,2,145 SQM,"Asafra, Alexandria•",2023-10-01,198936389
"EGP 5,650,000",3,3,250 SQM,"Camp Caesar, Alexandria•",2023-10-01,198936165
"EGP 2,300,000",3,2,155 SQM,"Sidi Beshr, Alexandria•",2023-10-01,198936100
"EGP 1,300,000",5,2,350 SQM,"Manshiyya, Alexandria•",2023-10-01,198075565
"EGP 1,650,000",2,1,115 SQM,"Kafr Abdo, Alexandria•",2023-10-01,198968367
"EGP 5,776,544",3,2,151 SQM,"Smoha, Alexandria•",2023-10-01,198968265
"EGP 4,584,300",3,2,177 SQM,"Smoha, Alexandria•",2023-10-01,198968228
"EGP 4,500,000",4,3,270 SQM,"Kafr Abdo, Alexandria•",2023-10-01,198968110
"EGP 2,500,000",3,1,140 SQM,"Roushdy, Alexandria•",2023-10-01,198968082
"EGP 10,853,000",3,3,204 SQM,"Moharam Bik, Alexandria•",2023-10-01,198967957
"EGP 450,000",4,2,150 SQM,"Agami, Alexandria•",2023-10-01,198338981
"EGP 308,000",3,3,151 SQM,"San Stefano, Alexandria•",2023-10-01,198081107
"EGP 4,272,000",3,3,178 SQM,"Borg al-Arab, Alexandria•",2023-10-01,198967653
