Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 18,265,000",3,3,281 SQM,"Orouba Skyline, Smoha•",2024-10-02,500959427
"EGP 6,100,000",3,2,195 SQM,"Kafr Abdo, Alexandria•",2024-10-02,501062018
"EGP 420,000",2,1,80 SQM,"Agami, Alexandria•",2024-10-27,202980463
"EGP 2,500,000",2,1,100 SQM,"Laurent, Alexandria•",2024-10-27,202903300
"EGP 3,500,000",3,1,150 SQM,"Stanley, Alexandria•",2024-10-26,501147694
"EGP 2,700,000",3,2,162 SQM,"Seyouf, Alexandria•",2024-10-30,202234723
"EGP 3,500,000",2,1,135 SQM,"Laurent, Alexandria•",2024-10-30,202922135
"EGP 450,000",2,1,74 SQM,"Agami, Alexandria•",2024-11-01,202476513
"EGP 3,300,000",2,1,130 SQM,"Smoha, Alexandria•",2024-10-28,501153117
"EGP 6,600,000",3,3,196 SQM,"Kafr Abdo, Alexandria•",2024-10-25,501145314
"EGP 2,763,900",2,1,112 SQM,"Miami, Alexandria•",2024-11-01,202171294
"EGP 8,000,000",3,3,171 SQM,"Laurent, Alexandria•",2024-10-29,202873754
"EGP 3,800,000",2,1,80 SQM,"Cleopatra, Alexandria•",2024-10-27,501149089
"EGP 6,500,000",3,1,235 SQM,"Roushdy, Alexandria•",2024-10-29,501156931
"EGP 2,400,000",3,2,150 SQM,"Seyouf, Alexandria•",2024-10-29,501156540
"EGP 1,200,000",2,1,85 SQM,"Mandara, Alexandria•",2024-10-18,501127572
"EGP 850,000",3,2,125 SQM,"Nakheel, Alexandria•",2024-11-01,202267704
"EGP 750,000",3,1,190 SQM,"Nakheel, Alexandria•",2024-11-01,202986452
"EGP 2,000,000",2,1,90 SQM,"Smoha, Alexandria•",2024-11-01,203013098
"EGP 2,400,000",3,3,180 SQM,"Seyouf, Alexandria•",2024-10-26,501148364
"EGP 625,000",2,1,100 SQM,"Agami, Alexandria•",2024-10-26,202969238
"EGP 1,200,000",2,1,70 SQM,"Fleming, Alexandria•",2024-10-25,501138786
"EGP 4,700,000",2,1,140 SQM,"Sidi Beshr, Alexandria•",2024-10-29,202994999
"EGP 8,500,000",3,2,200 SQM,"Smoha, Alexandria•",2024-10-30,202932108
"EGP 15,500,000",4,3,382 SQM,"San Stefano, Alexandria•",2024-10-29,501156003
"EGP 4,300,000",3,2,200 SQM,"Laurent, Alexandria•",2024-10-04,501098430
"EGP 3,700,000",3,2,170 SQM,"Gianaclis, Alexandria•",2024-10-30,203005893
"EGP 7,400,000",3,3,230 SQM,"Glim, Alexandria•",2024-10-18,500986779
"EGP 350,000",2,1,80 SQM,"Al Hanouvel, Agami•",2024-10-31,203014596
"EGP 3,000,000",3,2,200 SQM,"Sidi Gaber, Alexandria•",2024-10-30,501158332
"EGP 2,950,000",4,1,160 SQM,"Sidi Gaber, Alexandria•",2024-10-29,501031275
"EGP 5,600,000",4,3,220 SQM,"Sporting, Alexandria•",2024-10-27,501149507
"EGP 3,200,000",3,1,120 SQM,"Miami, Alexandria•",2024-10-27,202955506
"EGP 55,000,000",4,4,420 SQM,"Stanley, Alexandria•",2024-10-26,202925769
"EGP 2,850,000",2,1,100 SQM,"Azarita, Alexandria•",2024-10-29,500909093
"EGP 4,000,000",3,2,160 SQM,"Mandara, Alexandria•",2024-10-11,500961812
"EGP 3,650,000",3,2,165 SQM,"Montazah, Alexandria•",2024-10-02,501089765
"EGP 2,000,000",2,1,100 SQM,"Kafr Abdo, Alexandria•",2024-10-26,501148077
"EGP 2,600,000",3,1,130 SQM,"Saba Pasha, Alexandria•",2024-10-25,501145068
