Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 8,000,000",3,2,204 SQM,"Smoha, Alexandria•",2025-01-12,501449528
"EGP 2,400,000",2,1,100 SQM,"Al Ibrahimiyyah, Alexandria•",2024-12-25,501181934
"EGP 9,677,000",2,3,120 SQM,"Palm Hills Alexandria, Amreya•",2025-01-01,501248888
"EGP 20,300,000",4,3,290 SQM,"Orouba Skyline, Smoha•",2024-12-25,501208937
"EGP 10,773,000",3,3,179 SQM,"Smoha, Alexandria•",2025-01-01,501249646
"EGP 3,850,000",3,1,150 SQM,"Moharam Bik, Alexandria•",2024-12-25,501391479
"EGP 10,500,000",6,5,400 SQM,"Stanley, Alexandria•",2025-01-11,201375159
"EGP 2,450,000",2,1,105 SQM,"Smoha, Alexandria•",2025-01-08,501411356
"EGP 4,600,000",3,2,145 SQM,"Miami, Alexandria•",2025-01-14,203205695
"EGP 3,700,000",2,1,135 SQM,"Mandara, Alexandria•",2025-01-01,501395693
"EGP 12,500,000",3,3,270 SQM,"Smoha, Alexandria•",2025-01-12,501239252
"EGP 2,800,000",3,1,100 SQM,"Kafr Abdo, Alexandria•",2025-01-08,501410218
"EGP 14,900,000",3,3,165 SQM,"Palm Hills Alexandria, Amreya•",2025-01-13,501451360
"EGP 6,300,000",4,4,250 SQM,"San Stefano, Alexandria•",2025-01-11,501447137
"EGP 9,885,000",2,3,119 SQM,"Palm Hills Alexandria, Amreya•",2025-01-12,501448594
"EGP 12,724,000",3,3,179 SQM,"Palm Hills Alexandria, Amreya•",2025-01-14,501443893
"EGP 2,700,000",3,1,130 SQM,"Sidi Beshr, Alexandria•",2025-01-08,501411929
"EGP 5,600,000",3,3,176 SQM,"Roushdy, Alexandria•",2024-12-25,501393511
"EGP 4,500,000",3,1,165 SQM,"Kafr Abdo, Alexandria•",2025-01-12,501246735
"EGP 4,500,000",3,2,190 SQM,"Laurent, Alexandria•",2025-01-09,500864483
"EGP 3,700,000",3,2,160 SQM,"Shatby, Alexandria•",2024-12-18,501361925
"EGP 9,779,000",2,3,119 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501409621
"EGP 9,885,000",2,3,119 SQM,"Palm Hills Alexandria, Amreya•",2025-01-13,501451509
"EGP 11,500,000",2,2,178 SQM,"Stanley, Alexandria•",2025-01-09,203646948
"EGP 6,528,000",2,3,128 SQM,"Murooj, Smoha•",2025-01-01,501216538
"EGP 15,060,000",4,3,251 SQM,"Smoha, Alexandria•",2024-12-25,501209059
"EGP 5,200,000",3,1,140 SQM,"Camp Caesar, Alexandria•",2025-01-09,501445338
"EGP 3,650,000",3,1,120 SQM,"Laurent, Alexandria•",2025-01-15,203688574
"EGP 14,927,000",3,3,198 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501389995
"EGP 14,000,000",3,3,182 SQM,"Palm Hills Alexandria, Amreya•",2025-01-13,501451226
"EGP 4,500,000",2,1,150 SQM,"Glim, Alexandria•",2025-01-09,501197778
"EGP 1,800,000",2,1,100 SQM,"Miami, Alexandria•",2025-01-15,203592857
"EGP 4,700,000",3,2,150 SQM,"Sidi Gaber, Alexandria•",2025-01-12,501344277
"EGP 430,000",2,1,75 SQM,"Al Hanouvel, Agami•",2025-01-12,203676127
"EGP 7,870,000",1,1,70 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501408081
"EGP 4,500,000",3,1,150 SQM,"Mandara, Alexandria•",2025-01-13,203679142
"EGP 9,075,000",3,3,210 SQM,"Sawari, Moharam Bik•",2025-01-12,203601229
"EGP 9,948,000",2,2,211 SQM,"Palm Hills Alexandria, Amreya•",2025-01-14,501442616
"EGP 1,500,000",3,2,120 SQM,"Smoha, Alexandria•",2025-01-08,501412069
"EGP 10,290,000",4,3,196 SQM,"Murooj, Smoha•",2024-12-25,501208314
"EGP 580,000",1,1,60 SQM,"Nakheel, Alexandria•",2025-01-13,203674076
"EGP 2,400,000",2,1,135 SQM,"Miami, Alexandria•",2024-12-25,501393722
"EGP 7,300,000",3,2,236 SQM,"Glim, Alexandria•",2025-01-15,203689820
"EGP 12,701,000",2,2,140 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501249420
"EGP 1,250,000",2,1,75 SQM,"Sidi Gaber, Alexandria•",2025-01-09,203474526
"EGP 9,677,000",2,3,120 SQM,"Palm Hills Alexandria, Amreya•",2025-01-01,501248888
"EGP 2,400,000",2,1,100 SQM,"Al Ibrahimiyyah, Alexandria•",2024-12-25,501181934
"EGP 4,260,000",3,1,141 SQM,"Glim, Alexandria•",2025-01-15,203689913
"EGP 7,300,000",3,2,236 SQM,"Glim, Alexandria•",2025-01-15,203689820
"EGP 1,100,000",2,1,120 SQM,"Al Bitash, Agami•",2025-01-15,203689117
"EGP 4,000,000",3,2,145 SQM,"Glim, Alexandria•",2025-01-15,203581910
"EGP 4,352,000",3,3,170 SQM,"Glim, Alexandria•",2025-01-15,501459448
"EGP 3,500,000",3,2,138 SQM,"Smoha, Alexandria•",2025-01-15,501459258
"EGP 8,608,080",3,3,178 SQM,"Alex West, Agami•",2025-01-15,501459055
"EGP 2,700,000",3,2,160 SQM,"Sidi Gaber, Alexandria•",2025-01-15,203697582
"EGP 13,625,000",3,2,161 SQM,"Moharam Bik, Alexandria•",2025-01-15,203672566
"EGP 3,500,000",2,1,127 SQM,"Laurent, Alexandria•",2025-01-15,501107724
"EGP 2,000,000",3,1,125 SQM,"Bolkly, Alexandria•",2025-01-15,501459038
"EGP 13,500,000",4,3,334 SQM,"Kafr Abdo, Alexandria•",2025-01-15,501458999
"EGP 3,600,000",2,2,140 SQM,"Smoha, Alexandria•",2025-01-15,203697396
"EGP 5,000,000",3,2,180 SQM,"Smoha, Alexandria•",2025-01-15,203697263
"EGP 3,200,000",2,1,110 SQM,"Smoha, Alexandria•",2025-01-15,501458830
"EGP 14,351,000",3,3,167 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501458808
"EGP 7,544,000",3,3,164 SQM,"Murooj, Smoha•",2025-01-15,501458771
"EGP 3,000,000",2,1,100 SQM,"Bolkly, Alexandria•",2025-01-15,203697094
"EGP 475,000",3,1,130 SQM,"Al Bitash, Agami•",2025-01-15,203696313
"EGP 7,099,200",3,2,135 SQM,"Alex West, Agami•",2025-01-15,203671866
"EGP 4,000,000",3,2,140 SQM,"Zezenia, Alexandria•",2025-01-15,203547290
"EGP 3,931,200",3,2,144 SQM,"Murooj, Smoha•",2025-01-15,501458687
"EGP 1,800,000",2,1,100 SQM,"Miami, Alexandria•",2025-01-15,203696941
"EGP 2,800,000",3,1,140 SQM,"Sidi Beshr, Alexandria•",2025-01-15,501458538
"EGP 5,000,000",3,2,170 SQM,"Moharam Bik, Alexandria•",2025-01-15,501458494
"EGP 1,200,000",3,2,130 SQM,"Mina El Basal, Alexandria•",2025-01-15,203696670
"EGP 2,900,000",3,1,140 SQM,"Miami, Alexandria•",2025-01-15,501458413
"EGP 1,300,000",3,2,144 SQM,"Mina El Basal, Alexandria•",2025-01-15,203696649
"EGP 1,400,000",3,2,160 SQM,"Mina El Basal, Alexandria•",2025-01-15,203696620
"EGP 1,500,000",3,2,175 SQM,"Mina El Basal, Alexandria•",2025-01-15,203696584
"EGP 650,000",2,1,95 SQM,"Nakheel, Alexandria•",2025-01-15,203663736
"EGP 5,616,000",2,2,115 SQM,"Sawari, Moharam Bik•",2025-01-15,501458299
"EGP 1,250,000",2,1,115 SQM,"Al Bitash, Agami•",2025-01-15,203696404
"EGP 10,983,000",2,3,134 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501248955
"EGP 7,850,000",3,2,151 SQM,"Murooj, Smoha•",2025-01-15,501458137
"EGP 4,300,000",3,2,175 SQM,"Laurent, Alexandria•",2025-01-15,501458120
"EGP 10,000,000",3,2,182 SQM,"Smoha, Alexandria•",2025-01-15,203696212
"EGP 5,500,000",3,3,175 SQM,"Smoha, Alexandria•",2025-01-15,501457972
"EGP 6,576,000",3,2,137 SQM,"Murooj, Smoha•",2025-01-15,501457969
"EGP 13,810,000",3,3,170 SQM,"Palm Hills Alexandria, Amreya•",2025-01-15,501249121
"EGP 1,200,000",2,1,90 SQM,"Attarin, Alexandria•",2025-01-15,203695684
"EGP 1,500,000",2,1,75 SQM,"Mandara, Alexandria•",2025-01-15,203257201
"EGP 3,093,750",2,1,125 SQM,"Sidi Gaber, Alexandria•",2025-01-15,501457753
"EGP 1,200,000",2,1,90 SQM,"Attarin, Alexandria•",2025-01-15,203695684
"EGP 1,500,000",2,1,75 SQM,"Mandara, Alexandria•",2025-01-15,203257201
"EGP 3,093,750",2,1,125 SQM,"Sidi Gaber, Alexandria•",2025-01-15,501457753
"EGP 3,400,000",3,2,140 SQM,"Moharam Bik, Alexandria•",2025-01-15,501457699
"EGP 4,873,700",3,2,163 SQM,"Murooj, Smoha•",2025-01-15,501457607
"EGP 3,650,000",3,1,120 SQM,"Laurent, Alexandria•",2025-01-15,203688574
"EGP 4,200,000",4,2,300 SQM,"Al Hadrah, Alexandria•",2025-01-15,203695663
