Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 3,500,000",2,1,120 SQM,"Sidi Gaber, Alexandria•",2023-07-10,197975174
"EGP 1,385,000",3,1,125 SQM,"Sidi Beshr, Alexandria•",2023-07-10,197975101
"EGP 1,800,000",3,3,180 SQM,"Moharam Bik, Alexandria•",2023-07-10,197683465
"EGP 2,100,000",3,2,197 SQM,"Gianaclis, Alexandria•",2023-07-10,197975671
"EGP 2,200,000",3,2,250 SQM,"Kafr Abdo, Alexandria•",2023-07-10,197460435
"EGP 3,800,000",3,2,200 SQM,"Smoha, Alexandria•",2023-07-10,196339525
"EGP 4,250,000",4,3,300 SQM,"Laurent, Alexandria•",2023-07-10,197561088
"EGP 4,000,000",3,2,185 SQM,"Laurent, Alexandria•",2023-07-10,198011049
"EGP 270,000",2,1,90 SQM,"Agami, Alexandria•",2023-07-10,198015681
"EGP 3,188,900",3,2,143 SQM,"Smoha, Alexandria•",2023-07-10,197925838
"EGP 1,690,000",3,2,150 SQM,"Moharam Bik, Alexandria•",2023-07-10,197117975
"EGP 2,400,000",3,2,141 SQM,"Smoha, Alexandria•",2023-07-10,193560503
"EGP 4,900,000",3,3,248 SQM,"Kafr Abdo, Alexandria•",2023-07-10,197963406
"EGP 1,812,500",2,1,125 SQM,"Smoha, Alexandria•",2023-07-10,197759014
"EGP 3,200,000",3,2,165 SQM,"Saba Pasha, Alexandria•",2023-07-10,197959444
"EGP 1,150,000",4,2,220 SQM,"Nakheel, Alexandria•",2023-07-10,198003188
"EGP 1,500,000",3,1,125 SQM,"Sidi Beshr, Alexandria•",2023-07-10,197946851
"EGP 3,500,000",2,2,140 SQM,"Miami, Alexandria•",2023-07-10,197961345
"EGP 3,800,000",3,2,200 SQM,"Smoha, Alexandria•",2023-07-10,197695290
"EGP 1,550,000",3,1,125 SQM,"Seyouf, Alexandria•",2023-07-10,198037833
"EGP 6,106,500",3,3,207 SQM,"Murooj, Smoha•",2023-07-10,197989512
"EGP 270,000",2,1,90 SQM,"Agami, Alexandria•",2023-07-10,198015812
"EGP 2,500,000",2,2,125 SQM,"Sidi Beshr, Alexandria•",2023-07-10,197963159
"EGP 350,000",2,1,110 SQM,"Nakheel, Alexandria•",2023-07-10,196214709
"EGP 4,000,000",2,1,110 SQM,"Al Ibrahimiyyah, Alexandria•",2023-07-10,197774697
"EGP 3,144,000",2,2,120 SQM,"Murooj, Smoha•",2023-07-10,197911904
"EGP 4,800,000",3,3,220 SQM,"Sidi Beshr, Alexandria•",2023-07-10,198012229
