Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 4,250,000",3,2,190 SQM,"Smoha, Alexandria•",2025-04-24,501967160
"EGP 4,854,000",3,2,141 SQM,"Murooj, Smoha•",2025-05-01,501978973
"EGP 5,200,000",3,3,200 SQM,"Sporting, Alexandria•",2025-05-14,502036632
"EGP 4,200,000",3,2,125 SQM,"Sporting, Alexandria•",2025-05-01,501865729
"EGP 8,904,000",3,2,210 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-08,502013799
"EGP 1,500,000",3,1,85 SQM,"Sidi Beshr, Alexandria•",2025-05-11,204575221
"EGP 3,100,000",3,2,150 SQM,"Fleming, Alexandria•",2025-05-15,502011361
"EGP 6,000,000",3,2,150 SQM,"Laurent, Alexandria•",2025-05-08,502008586
"EGP 2,300,000Negotiable",2,1,144 SQM,"Sidi Beshr, Alexandria•",2025-05-15,201881152
"EGP 5,850,000",3,1,160 SQM,"Smoha, Alexandria•",2025-05-08,502015405
"EGP 6,500,000",3,2,225 SQM,"Smoha, Alexandria•",2025-05-08,502020348
"EGP 350,000",2,1,65 SQM,"Al Hanouvel, Agami•",2025-05-09,204627693
"EGP 4,900,000",2,2,115 SQM,"Stanley, Alexandria•",2025-05-08,502020311
"EGP 3,950,000",4,2,200 SQM,"Roushdy, Alexandria•",2025-05-14,501389214
"EGP 1,250,000",3,1,135 SQM,"Agami, Alexandria•",2025-05-13,203012917
"EGP 1,800,000Negotiable",2,1,120 SQM,"Miami, Alexandria•",2025-05-13,204605409
"EGP 22,325,000",4,3,235 SQM,"Stanley, Alexandria•",2025-05-15,502040506
"EGP 3,468,750",2,1,125 SQM,"Sidi Beshr, Alexandria•",2025-05-09,501405990
"EGP 2,000,000",2,1,100 SQM,"Sidi Beshr, Alexandria•",2025-05-13,204671227
"EGP 13,000,000Negotiable",5,3,320 SQM,"Sporting, Alexandria•",2025-05-08,502008397
"EGP 3,800,000",3,1,130 SQM,"Asafra, Alexandria•",2025-05-01,501979112
"EGP 5,000,000",3,2,177 SQM,"Roushdy, Alexandria•",2025-05-09,501804030
"EGP 2,100,000",2,1,100 SQM,"Glim, Alexandria•",2025-05-13,502029676
"EGP 660,000",3,1,135 SQM,"Kilo 21, Agami•",2025-05-15,203629943
"EGP 2,500,000",1,1,70 SQM,"Asafra, Alexandria•",2025-05-12,502028627
"EGP 5,200,000Negotiable",3,2,125 SQM,"Sporting, Alexandria•",2025-05-01,502002881
"EGP 740,000",2,1,110 SQM,"Nakheel, Alexandria•",2025-05-08,204621401
"EGP 2,000,000Negotiable",2,1,100 SQM,"Zezenia, Alexandria•",2025-05-08,502006500
"EGP 3,000,000",2,2,120 SQM,"Bolkly, Alexandria•",2025-05-11,501954320
"EGP 5,050,000",3,2,144 SQM,"Smoha, Alexandria•",2025-05-09,501686686
"EGP 15,000,000",3,3,204 SQM,"Azarita, Alexandria•",2025-05-08,204626617
"EGP 5,000,000",3,2,160 SQM,"Miami, Alexandria•",2025-05-10,502021792
"EGP 450,000",2,1,80 SQM,"Al Hanouvel, Agami•",2025-05-09,204627483
"EGP 2,200,000",3,2,130 SQM,"Moharam Bik, Alexandria•",2025-05-14,502039086
"EGP 1,700,000",3,1,100 SQM,"Sidi Beshr, Alexandria•",2025-05-12,502027276
"EGP 8,616,678",3,3,177 SQM,"Sawari, Moharam Bik•",2025-05-13,204674752
"EGP 685,000",2,1,90 SQM,"Nakheel, Alexandria•",2025-05-11,502026159
"EGP 2,700,000",3,1,115 SQM,"Sidi Beshr, Alexandria•",2025-05-12,204664924
"EGP 1,950,000",2,1,95 SQM,"Smoha, Alexandria•",2025-05-09,502020609
"EGP 2,650,000",3,1,200 SQM,"Seyouf, Alexandria•",2025-05-12,204231407
"EGP 2,900,000",2,2,90 SQM,"Sporting, Alexandria•",2025-04-24,501885321
"EGP 4,750,000",3,1,145 SQM,"Mandara, Alexandria•",2025-05-09,204636991
"EGP 4,750,000",3,2,180 SQM,"Smoha, Alexandria•",2025-05-14,501998241
"EGP 10,300,000",2,3,120 SQM,"Palm Hills Alexandria, Amreya•",2025-05-13,501468060
"EGP 1,500,000",2,1,100 SQM,"Sidi Beshr, Alexandria•",2025-05-10,204406123
"EGP 4,200,000",3,2,125 SQM,"Sporting, Alexandria•",2025-05-01,501865729
"EGP 8,904,000",3,2,210 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-08,502013799
"EGP 5,800,000",3,1,145 SQM,"Cleopatra, Alexandria•",2025-05-15,502043559
"EGP 10,000,000",3,3,257 SQM,"Smoha, Alexandria•",2025-05-15,502043532
"EGP 6,600,000",3,3,178 SQM,"Waboor Elmayah, Alexandria•",2025-05-15,502043483
"EGP 5,000,000",2,1,130 SQM,"Laurent, Alexandria•",2025-05-15,502043419
"EGP 5,034,000",2,2,115 SQM,"Sawari, Moharam Bik•",2025-05-15,502043349
"EGP 1,350,000",3,1,115 SQM,"Mandara, Alexandria•",2025-05-15,204645481
"EGP 7,150,000",3,3,206 SQM,"Sawari, Moharam Bik•",2025-05-15,502043279
"EGP 710,000",2,2,150 SQM,"Nakheel, Alexandria•",2025-05-15,502043274
"EGP 22,325,000",4,3,235 SQM,"Stanley, Alexandria•",2025-05-15,502040506
"EGP 4,600,000",2,2,154 SQM,"Kafr Abdo, Alexandria•",2025-05-15,502043233
"EGP 855,000",2,2,270 SQM,"Nakheel, Alexandria•",2025-05-15,502043142
"EGP 4,700,000",3,3,165 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-15,501873153
"EGP 4,000,000",3,1,140 SQM,"Roushdy, Alexandria•",2025-05-15,502043107
"EGP 5,500,000",3,2,194 SQM,"Laurent, Alexandria•",2025-05-15,502042994
"EGP 860,000",2,1,250 SQM,"Nakheel, Alexandria•",2025-05-15,502042948
"EGP 2,100,000",2,1,100 SQM,"Glim, Alexandria•",2025-05-15,502042943
"EGP 9,700,000",3,3,177 SQM,"Sawari, Moharam Bik•",2025-05-15,502042635
"EGP 14,700,000",3,4,182 SQM,"Palm Hills Alexandria, Amreya•",2025-05-15,502042815
"EGP 3,350,000",3,1,105 SQM,"Gianaclis, Alexandria•",2025-05-15,502042756
"EGP 4,200,000",2,1,130 SQM,"Laurent, Alexandria•",2025-05-15,502042748
"EGP 3,300,000",3,2,149 SQM,"Miami, Alexandria•",2025-05-15,502042747
"EGP 15,410,664",5,3,237 SQM,"The One, Smoha•",2025-05-15,502042716
"EGP 4,950,000",3,1,120 SQM,"Cleopatra, Alexandria•",2025-05-15,502042702
"EGP 2,500,000",2,1,80 SQM,"Maamoura, Alexandria•",2025-05-15,502042632
"EGP 4,100,000",2,1,125 SQM,"Sporting, Alexandria•",2025-05-15,502042344
"EGP 4,600,000",3,1,90 SQM,"Sidi Beshr, Alexandria•",2025-05-15,502042577
"EGP 3,500,000",3,2,125 SQM,"Mandara, Alexandria•",2025-05-15,502042560
"EGP 4,852,384",1,1,70 SQM,"Palm Hills Alexandria, Amreya•",2025-05-15,502042510
"EGP 8,337,225",3,3,175 SQM,"Sawari, Moharam Bik•",2025-05-15,502042470
"EGP 14,000,000",4,4,300 SQM,"Raml Station, Alexandria•",2025-05-15,204692406
"EGP 5,000,000",3,3,177 SQM,"Valore Antoniades, Smoha•",2025-05-15,502042455
"EGP 3,600,000",3,2,160 SQM,"Maamoura, Alexandria•",2025-05-15,502042371
"EGP 330,000",2,1,90 SQM,"Agami, Alexandria•",2025-05-15,204315357
"EGP 2,250,000",3,1,100 SQM,"Smoha, Alexandria•",2025-05-15,502042383
"EGP 7,500,000",3,2,250 SQM,"Roushdy, Alexandria•",2025-05-15,502042358
"EGP 2,500,000",2,1,125 SQM,"Miami, Alexandria•",2025-05-15,502042345
"EGP 4,250,000",2,2,115 SQM,"Sidi Beshr, Alexandria•",2025-05-15,204522757
"EGP 6,500,000",3,3,178 SQM,"Moharam Bik, Alexandria•",2025-05-15,501498846
"EGP 4,850,000",3,2,145 SQM,"Kafr Abdo, Alexandria•",2025-05-15,502042211
"EGP 10,800,000",4,2,218 SQM,"Alex West, Agami•",2025-05-15,502042164
"EGP 1,850,000",1,1,65 SQM,"Stanley, Alexandria•",2025-05-15,502042144
"EGP 3,000,000",2,1,105 SQM,"Zezenia, Alexandria•",2025-05-15,501927901
"EGP 3,000,000",6,3,200 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-15,203606374
"EGP 1,850,000",1,1,65 SQM,"Stanley, Alexandria•",2025-05-15,502042144
"EGP 3,000,000",2,1,105 SQM,"Zezenia, Alexandria•",2025-05-15,501927901
"EGP 3,000,000",6,3,200 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-15,203606374
"EGP 50,000,000",4,5,600 SQM,"San Stefano, Alexandria•",2025-05-15,502042058
"EGP 900,000",3,1,120 SQM,"Maamoura, Alexandria•",2025-05-15,502042026
"EGP 4,100,000Negotiable",4,2,200 SQM,"Bolkly, Alexandria•",2025-05-15,502041983
"EGP 4,500,000",3,1,136 SQM,"Laurent, Alexandria•",2025-05-15,204690460
"EGP 6,000,000",3,2,153 SQM,"Alex West, Agami•",2025-05-15,502041942
"EGP 9,000,000",4,3,350 SQM,"Glim, Alexandria•",2025-05-15,204691839
"EGP 2,925,000",3,2,134 SQM,"Seyouf, Alexandria•",2025-05-15,502041878
"EGP 6,400,000",3,2,160 SQM,"Valore Antoniades, Smoha•",2025-05-15,502041867
"EGP 9,250,000",4,3,279 SQM,"Smoha, Alexandria•",2025-05-15,204691719
"EGP 510,000",2,1,90 SQM,"Nakheel, Alexandria•",2025-05-15,502041840
"EGP 6,500,000",3,3,184 SQM,"Alex West, Agami•",2025-05-15,502041805
"EGP 780,000",3,1,100 SQM,"Nakheel, Alexandria•",2025-05-15,204649393
"EGP 8,000,000",4,2,250 SQM,"Roushdy, Alexandria•",2025-05-15,204634048
"EGP 650,000",3,1,105 SQM,"Agami, Alexandria•",2025-05-15,204560537
"EGP 3,500,000",3,2,145 SQM,"Cleopatra, Alexandria•",2025-05-15,502041787
"EGP 3,000,000",3,2,113 SQM,"Al Ibrahimiyyah, Alexandria•",2025-05-15,502041708
"EGP 3,100,000",3,2,150 SQM,"Fleming, Alexandria•",2025-05-15,502011361
"EGP 5,500,000",3,2,160 SQM,"Smoha, Alexandria•",2025-05-15,502014501
"EGP 4,850,000",3,2,180 SQM,"Miami, Alexandria•",2025-05-15,501952370
"EGP 11,000,000",6,3,320 SQM,"Sporting, Alexandria•",2025-05-15,501870341
