Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 1,950,000",3,2,150 SQM,"Glim, Alexandria•",2023-04-12,196317404
"EGP 1,550,000",3,2,165 SQM,"Sidi Beshr, Alexandria•",2023-04-12,196389225
"EGP 1,100,000Negotiable",2,2,140 SQM,"Agami, Alexandria•",2023-04-12,196697881
"EGP 1,350,000",2,1,96 SQM,"Smoha, Alexandria•",2023-04-12,196771511
"EGP 5,000,000",3,3,270 SQM,"Stanley, Alexandria•",2023-04-12,196819417
"EGP 4,000,000",4,3,210 SQM,"Smoha, Alexandria•",2023-04-12,196758543
"EGP 175,000",3,1,100 SQM,"Agami, Alexandria•",2023-04-12,196738073
"EGP 3,275,000",3,2,185 SQM,"Glim, Alexandria•",2023-04-12,195548154
"EGP 4,600,000",3,3,210 SQM,"Sporting, Alexandria•",2023-04-12,196764608
"EGP 6,700,000",4,3,231 SQM,"San Stefano, Alexandria•",2023-04-12,196461831
"EGP 1,450,000",3,2,135 SQM,"Smoha, Alexandria•",2023-04-12,195874581
"EGP 2,500,000",2,2,135 SQM,"Raml Station, Alexandria•",2023-04-12,196413870
"EGP 3,000,000",3,2,160 SQM,"Laurent, Alexandria•",2023-04-12,195963476
"EGP 3,100,000Negotiable",3,2,200 SQM,"Saba Pasha, Alexandria•",2023-04-12,196732047
"EGP 1,500,000Negotiable",3,1,140 SQM,"Sidi Beshr, Alexandria•",2023-04-12,195755519
"EGP 1,685,000",3,2,135 SQM,"Victoria, Alexandria•",2023-04-12,196792235
"EGP 3,650,000",3,2,190 SQM,"Camp Caesar, Alexandria•",2023-04-12,196549197
"EGP 4,850,000",4,3,210 SQM,"Smoha, Alexandria•",2023-04-12,196818513
"EGP 5,000,000",4,2,250 SQM,"Glim, Alexandria•",2023-04-12,196764217
"EGP 2,550,000",3,2,185 SQM,"Smoha, Alexandria•",2023-04-12,196795141
"EGP 1,200,000",2,1,95 SQM,"Miami, Alexandria•",2023-04-12,196138101
"EGP 5,700,000",3,2,175 SQM,"Sporting, Alexandria•",2023-04-12,196752294
