Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 17,250,000",4,4,410 SQM,"Laurent, Alexandria•",2023-12-09,199703645
"EGP 4,785,000",3,3,177 SQM,"Sawari, Moharam Bik•",2023-12-09,500297170
"EGP 2,500,000",2,1,155 SQM,"Sporting, Alexandria•",2023-12-09,199571380
"EGP 5,130,000",10+,2,135 SQM,"Murooj, Smoha•",2023-12-09,500368726
"EGP 5,500,000",3,2,220 SQM,"Laurent, Alexandria•",2023-12-09,199711177
"EGP 3,750,000",3,3,162 SQM,"Laurent, Alexandria•",2023-12-09,199699999
"EGP 1,500,000",3,1,128 SQM,"Sidi Beshr, Alexandria•",2023-12-09,199680137
"EGP 4,000,000",4,2,185 SQM,"Kafr Abdo, Alexandria•",2023-12-09,199546023
"EGP 5,700,000",3,4,300 SQM,"Kafr Abdo, Alexandria•",2023-12-09,199756220
"EGP 400,000",3,1,110 SQM,"Agami, Alexandria•",2023-12-09,199662813
"EGP 4,000,000",3,2,190 SQM,"Laurent, Alexandria•",2023-12-09,199733410
"EGP 3,400,000",3,2,220 SQM,"Laurent, Alexandria•",2023-12-09,198817926
"EGP 820,000",3,2,16 SQM,"Nakheel, Alexandria•",2023-12-09,199759733
"EGP 590,000",2,1,130 SQM,"Smoha, Alexandria•",2023-12-09,199733881
"EGP 4,100,000",3,2,180 SQM,"Saba Pasha, Alexandria•",2023-12-09,199712937
"EGP 1,700,000",2,1,105 SQM,"Gianaclis, Alexandria•",2023-12-09,500294518
"EGP 6,498,000",3,3,171 SQM,"Smoha, Alexandria•",2023-12-09,199733315
"EGP 6,000,000",3,4,230 SQM,"Kafr Abdo, Alexandria•",2023-12-09,199745497
"EGP 6,512,000",3,3,176 SQM,"Murooj, Smoha•",2023-12-09,198902288
"EGP 950,000",2,1,90 SQM,"Bolkly, Alexandria•",2023-12-09,199469623
"EGP 2,300,000",3,2,160 SQM,"Miami, Alexandria•",2023-12-09,198192854
"EGP 430,000",2,1,80 SQM,"Nakheel, Alexandria•",2023-12-09,199732041
"EGP 2,550,000",2,1,133 SQM,"Sawari, Moharam Bik•",2023-12-09,500375440
"EGP 8,800,000",4,3,305 SQM,"Sporting, Alexandria•",2023-12-09,199170408
"EGP 4,550,000",2,1,122 SQM,"Alex West, Agami•",2023-12-09,500367048
"EGP 2,376,000",2,2,110 SQM,"Miami, Alexandria•",2023-12-09,199611819
"EGP 3,500,000",3,2,140 SQM,"Sidi Beshr, Alexandria•",2023-12-09,199705854
"EGP 2,600,000",3,2,180 SQM,"Bolkly, Alexandria•",2023-12-09,199521650
"EGP 4,700,000",3,3,178 SQM,"Alex West, Agami•",2023-12-09,199721859
"EGP 2,350,000",2,1,120 SQM,"Al Ibrahimiyyah, Alexandria•",2023-12-09,199171088
"EGP 6,000,000",3,3,230 SQM,"Glim, Alexandria•",2023-12-09,199740712
"EGP 1,100,000",3,1,110 SQM,"Smoha, Alexandria•",2023-12-09,199659591
"EGP 7,000,000",3,3,248 SQM,"Smoha, Alexandria•",2023-12-09,199382711
"EGP 4,340,000",3,2,155 SQM,"Alex West, Agami•",2023-12-09,500368785
"EGP 5,500,000",4,3,340 SQM,"Kafr Abdo, Alexandria•",2023-12-09,199151116
"EGP 950,000",3,1,130 SQM,"Sidi Beshr, Alexandria•",2023-12-09,199695958
"EGP 2,200,000",3,1,125 SQM,"Cleopatra, Alexandria•",2023-12-09,199343086
"EGP 1,000,000",2,1,90 SQM,"Al Ibrahimiyyah, Alexandria•",2023-12-09,199742923
"EGP 1,800,000",3,1,100 SQM,"Smoha, Alexandria•",2023-12-09,199760762
"EGP 1,650,000",2,1,95 SQM,"Laurent, Alexandria•",2023-12-09,199761512
"EGP 3,500,000",3,2,175 SQM,"Sidi Beshr, Alexandria•",2023-12-09,199705919
"EGP 2,300,000",3,2,155 SQM,"Miami, Alexandria•",2023-12-09,199684968
"EGP 9,000,000",4,4,425 SQM,"Raml Station, Alexandria•",2023-12-09,199706189
"EGP 2,600,000",3,2,110 SQM,"Laurent, Alexandria•",2023-12-09,199672292
"EGP 7,000,000",3,3,270 SQM,"Smoha, Alexandria•",2023-12-09,199641549
"EGP 350,000",2,2,105 SQM,"Agami, Alexandria•",2023-12-09,199531457
"EGP 4,100,000",3,2,200 SQM,"Roushdy, Alexandria•",2023-12-09,500375492
