Price,Bedrooms,Bathrooms,Area,Location,date,id
"EGP 4,550,000",3,3,169 SQM,"Laurent, Alexandria•",2024-04-30,201142847
"EGP 2,700,000",2,1,130 SQM,"Kafr Abdo, Alexandria•",2024-04-30,200918474
"EGP 2,400,000",2,1,120 SQM,"Borg al-Arab, Alexandria•",2024-04-30,200220151
"EGP 4,200,000",2,2,130 SQM,"Laurent, Alexandria•",2024-04-30,201082798
"EGP 3,600,000",2,1,120 SQM,"Sidi Beshr, Alexandria•",2024-04-30,200886097
"EGP 6,500,000",3,2,210 SQM,"Smoha, Alexandria•",2024-04-30,201154172
"EGP 2,750,000",3,2,150 SQM,"Sidi Beshr, Alexandria•",2024-04-30,500693649
"EGP 4,600,000",3,2,220 SQM,"Smoha, Alexandria•",2024-04-30,200549763
"EGP 1,200,000",3,1,75 SQM,"Raml Station, Alexandria•",2024-04-30,200594642
"EGP 6,300,000",3,2,188 SQM,"Smoha, Alexandria•",2024-04-30,500685506
"EGP 1,800,000",3,1,140 SQM,"Seyouf, Alexandria•",2024-04-30,200643997
"EGP 1,950,000",3,2,135 SQM,"Seyouf, Alexandria•",2024-04-30,500652306
"EGP 700,000",2,1,75 SQM,"Gianaclis, Alexandria•",2024-04-30,200804224
"EGP 3,870,000",3,2,175 SQM,"Sidi Beshr, Alexandria•",2024-04-30,201050855
"EGP 4,000,000",3,2,180 SQM,"Camp Caesar, Alexandria•",2024-04-30,201018696
"EGP 2,950,000",3,1,145 SQM,"Smoha, Alexandria•",2024-04-30,201017770
"EGP 7,500,000",3,3,480 SQM,"Smoha, Alexandria•",2024-04-30,500595052
"EGP 500,000",2,1,85 SQM,"Agami, Alexandria•",2024-04-30,199597522
"EGP 3,100,000",3,2,140 SQM,"Laurent, Alexandria•",2024-04-30,500633820
"EGP 4,000,000",3,2,190 SQM,"Smoha, Alexandria•",2024-04-30,201121326
"EGP 1,500,000",3,1,130 SQM,"Asafra, Alexandria•",2024-04-30,500614289
"EGP 3,000,000",3,1,135 SQM,"Smoha, Alexandria•",2024-04-30,201144351
"EGP 6,500,000",3,2,180 SQM,"Laurent, Alexandria•",2024-04-30,200997741
"EGP 3,300,000",3,2,155 SQM,"Al Ibrahimiyyah, Alexandria•",2024-04-30,200942025
"EGP 45,000,000",4,5,386 SQM,"San Stefano, Alexandria•",2024-04-30,201146085
"EGP 1,450,000",4,1,100 SQM,"Kafr Abdo, Alexandria•",2024-04-30,199342434
"EGP 6,000,000",4,3,210 SQM,"Kafr Abdo, Alexandria•",2024-04-30,201071249
"EGP 4,590,000",3,2,170 SQM,"Miami, Alexandria•",2024-04-30,500652595
"EGP 2,500,000",2,2,110 SQM,"Smoha, Alexandria•",2024-04-30,201071266
"EGP 3,700,000",2,1,100 SQM,"Al Ibrahimiyyah, Alexandria•",2024-04-30,200643110
"EGP 2,812,500",2,1,125 SQM,"Miami, Alexandria•",2024-04-30,500686767
"EGP 4,900,000",3,3,240 SQM,"Montazah, Alexandria•",2024-04-30,500662408
"EGP 10,000,000",3,3,175 SQM,"Smoha, Alexandria•",2024-04-30,201049341
"EGP 5,250,000",3,2,220 SQM,"Laurent, Alexandria•",2024-04-30,500691412
"EGP 2,750,000",3,2,174 SQM,"Sidi Beshr, Alexandria•",2024-04-30,201146992
"EGP 2,400,000",3,2,135 SQM,"Mandara, Alexandria•",2024-04-30,200871902
"EGP 6,150,000",3,3,177 SQM,"Moharam Bik, Alexandria•",2024-04-30,201059780
"EGP 1,900,000",3,1,140 SQM,"Bolkly, Alexandria•",2024-04-30,200679482
"EGP 3,200,000",2,2,100 SQM,"Laurent, Alexandria•",2024-04-30,500662194
"EGP 3,700,000",3,2,300 SQM,"Fleming, Alexandria•",2024-04-30,200812115
"EGP 5,888,000",3,2,184 SQM,"Murooj, Smoha•",2024-04-30,201112372
"EGP 4,100,000",3,2,175 SQM,"Smoha, Alexandria•",2024-04-30,500442838
