Price,Bedrooms,Bathrooms,Area,Location
"EGP 135,000Negotiable",1,1,60 SQM,"Nakheel, Alexandria•"
"EGP 1,500,000",3,2,181 SQM,"Laurent, Alexandria•"
"EGP 3,500,000",3,2,205 SQM,"Glim, Alexandria•"
"EGP 1,700,000Negotiable",3,1,168 SQM,"Sidi Beshr, Alexandria•"
"EGP 590,000Negotiable",3,2,125 SQM,"Nakheel, Alexandria•"
"EGP 6,330,351",4,3,284 SQM,"Moharam Bik, Alexandria•"
"EGP 3,500,000",3,2,205 SQM,"Saba Pasha, Alexandria•"
"EGP 260,000Negotiable",2,1,140 SQM,"Nakheel, Alexandria•"
"EGP 3,300,000",3,2,200 SQM,"Saba Pasha, Alexandria•"
"EGP 2,520,000",3,2,140 SQM,"Smoha, Alexandria•"
"EGP 2,520,000",3,2,140 SQM,"Smoha, Alexandria•"
"EGP 6,900,000",2,2,136 SQM,"San Stefano, Alexandria•"
"EGP 3,300,000",3,2,200 SQM,"Glim, Alexandria•"
"EGP 560,000Negotiable",2,1,85 SQM,"Sidi Beshr, Alexandria•"
"EGP 3,650,000",4,3,350 SQM,"Kafr Abdo, Alexandria•"
"EGP 4,300,000",3,3,180 SQM,"Miami, Alexandria•"
"EGP 4,250,000",3,2,179 SQM,"Azarita, Alexandria•"
"EGP 2,650,000",3,2,204 SQM,"Smoha, Alexandria•"
"EGP 3,060,000",3,3,204 SQM,"San Stefano, Alexandria•"
"EGP 1,800,000",3,1,180 SQM,"Miami, Alexandria•"
"EGP 3,344,000",3,2,152 SQM,"Smoha, Alexandria•"
"EGP 310,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 2,895,000",3,3,193 SQM,"Laurent, Alexandria•"
"EGP 3,045,000",3,3,203 SQM,"Roushdy, Alexandria•"
"EGP 2,895,000",3,3,193 SQM,"Saba Pasha, Alexandria•"
"EGP 310,000Negotiable",2,1,140 SQM,"Nakheel, Alexandria•"
"EGP 3,060,000",3,3,204 SQM,"Sporting, Alexandria•"
"EGP 2,895,000",3,3,193 SQM,"Glim, Alexandria•"
"EGP 2,500,000",3,3,165 SQM,"Laurent, Alexandria•"
"EGP 3,060,000",3,3,204 SQM,"Kafr Abdo, Alexandria•"
"EGP 4,700,000",4,3,440 SQM,"Laurent, Alexandria•"
"EGP 1,300,000",3,1,160 SQM,"Miami, Alexandria•"
"EGP 3,045,000",3,3,203 SQM,"Moharam Bik, Alexandria•"
"EGP 2,895,000",3,3,193 SQM,"Smoha, Alexandria•"
"EGP 630,000Negotiable",3,2,300 SQM,"Nakheel, Alexandria•"
"EGP 1,900,000",2,2,145 SQM,"Laurent, Alexandria•"
"EGP 155,000",1,1,55 SQM,"Nakheel, Alexandria•"
"EGP 245,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 1,600,000",3,2,140 SQM,"Laurent, Alexandria•"
"EGP 135,000Negotiable",1,1,60 SQM,"Nakheel, Alexandria•"
"EGP 4,100,000",3,3,285 SQM,"San Stefano, Alexandria•"
"EGP 325,000Negotiable",2,1,95 SQM,"Nakheel, Alexandria•"
"EGP 1,400,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 4,500,000",1,1,122 SQM,"Laurent, Alexandria•"
"EGP 430,000Negotiable",2,1,90 SQM,"Sidi Beshr, Alexandria•"
"EGP 2,800,000",3,3,200 SQM,"Smoha, Alexandria•"
"EGP 1,900,000",2,1,135 SQM,"Smoha, Alexandria•"
"EGP 2,360,000",3,2,140 SQM,"Moharam Bik, Alexandria•"
"EGP 3,750,000",4,3,270 SQM,"Kafr Abdo, Alexandria•"
"EGP 420,000Negotiable",2,1,160 SQM,"Nakheel, Alexandria•"
"EGP 3,250,000",3,3,200 SQM,"Laurent, Alexandria•"
"EGP 4,432,000",3,3,202 SQM,"Moharam Bik, Alexandria•"
"EGP 1,950,000",3,1,151 SQM,"Roushdy, Alexandria•"
"EGP 3,500,000",3,3,300 SQM,"Glim, Alexandria•"
"EGP 3,850,000",4,2,270 SQM,"Gianaclis, Alexandria•"
"EGP 1,550,000",3,2,200 SQM,"Laurent, Alexandria•"
"EGP 250,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•"
"EGP 410,000Negotiable",2,1,135 SQM,"Nakheel, Alexandria•"
"EGP 4,600,000",3,2,230 SQM,"Smoha, Alexandria•"
"EGP 1,100,000",2,1,108 SQM,"Al Ibrahimiyyah, Alexandria•"
"EGP 2,100,000",3,2,145 SQM,"Stanley, Alexandria•"
"EGP 340,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 260,000Negotiable",2,1,160 SQM,"Nakheel, Alexandria•"
"EGP 400,000Negotiable",3,1,120 SQM,"Nakheel, Alexandria•"
"EGP 380,000Negotiable",3,2,250 SQM,"Nakheel, Alexandria•"
"EGP 420,000Negotiable",2,2,250 SQM,"Nakheel, Alexandria•"
"EGP 1,500,000Negotiable",3,1,130 SQM,"Smoha, Alexandria•"
"EGP 330,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 275,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 1,750,000Negotiable",2,2,160 SQM,"Sidi Beshr, Alexandria•"
"EGP 610,000Negotiable",3,2,300 SQM,"Nakheel, Alexandria•"
"EGP 320,000Negotiable",2,1,190 SQM,"Nakheel, Alexandria•"
"EGP 630,000Negotiable",4,3,350 SQM,"Nakheel, Alexandria•"
"EGP 285,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 330,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 670,000Negotiable",4,2,300 SQM,"Nakheel, Alexandria•"
"EGP 1,100,000Negotiable",4,2,320 SQM,"Nakheel, Alexandria•"
"EGP 275,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 330,000Negotiable",2,1,125 SQM,"Nakheel, Alexandria•"
"EGP 315,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 350,000",2,1,80 SQM,"Smoha, Alexandria•"
"EGP 550,000Negotiable",2,1,94 SQM,"Smoha, Alexandria•"
"EGP 450,000Negotiable",3,1,135 SQM,"Nakheel, Alexandria•"
"EGP 1,500,000",3,1,135 SQM,"Miami, Alexandria•"
"EGP 420,000Negotiable",2,1,130 SQM,"Nakheel, Alexandria•"
"EGP 11,500,000",4,3,300 SQM,"Laurent, Alexandria•"
"EGP 450,000",3,1,110 SQM,"Moharam Bik, Alexandria•"
"EGP 1,350,000",2,1,100 SQM,"Smoha, Alexandria•"
"EGP 2,250,000Negotiable",2,1,120 SQM,"Maamoura, Alexandria•"
"EGP 1,300,000Negotiable",3,2,145 SQM,"Sidi Beshr, Alexandria•"
"EGP 1,200,000Negotiable",3,1,136 SQM,"Smoha, Alexandria•"
"EGP 330,000Negotiable",2,1,85 SQM,"Seyouf, Alexandria•"
"EGP 1,250,000",3,1,165 SQM,"Sidi Beshr, Alexandria•"
"EGP 3,550,000",3,2,190 SQM,"Smoha, Alexandria•"
"EGP 275,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 390,000Negotiable",3,2,162 SQM,"Nakheel, Alexandria•"
"EGP 1,800,000",3,2,165 SQM,"Mandara, Alexandria•"
"EGP 450,000",2,1,95 SQM,"Mandara, Alexandria•"
"EGP 550,000",3,1,130 SQM,"Seyouf, Alexandria•"
"EGP 275,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 1,850,000Negotiable",3,2,150 SQM,"Montazah, Alexandria•"
"EGP 460,000Negotiable",3,2,250 SQM,"Nakheel, Alexandria•"
"EGP 290,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 950,000",2,1,75 SQM,"Smoha, Alexandria•"
"EGP 1,500,000",3,1,120 SQM,"Al Ibrahimiyyah, Alexandria•"
"EGP 800,000",3,1,100 SQM,"Al Hadrah, Alexandria•"
"EGP 2,200,000",4,3,360 SQM,"Laurent, Alexandria•"
